Condition	Onset	Duration
Baseline	0	10
GT	10	0.7
Baseline	10.7	5.3
GNT	16	0.7
Baseline	16.7	5.3
GT	22	0.7
Baseline	22.7	5.3
GT	28	0.7
Baseline	28.7	3.3
C2_5GT	32	0.7
Baseline	32.7	5.3
GT	38	0.7
Baseline	38.7	3.3
GT	42	0.7
Baseline	42.7	3.3
NT	46	0.7
Baseline	46.7	7.3
NT	54	0.7
Baseline	54.7	3.3
GNT	58	0.7
Baseline	58.7	5.3
NT	64	0.7
Baseline	64.7	5.3
C2_5GT	70	0.7
Baseline	70.7	3.3
C2_5GT	74	0.7
Baseline	74.7	7.3
GNT	82	0.7
Baseline	82.7	5.3
GNT	88	0.7
Baseline	88.7	3.3
GT	92	0.7
Baseline	92.7	3.3
C2_5GT	96	0.7
Baseline	96.7	3.3
GNT	100	0.7
Baseline	100.7	7.3
GT	108	0.7
Baseline	108.7	3.3
GT	112	0.7
Baseline	112.7	3.3
GNT	116	0.7
Baseline	116.7	3.3
C2_5GT	120	0.7
Baseline	120.7	3.3
GNT	124	0.7
Baseline	124.7	3.3
C2_5GT	128	0.7
Baseline	128.7	7.3
C2_5GT	136	0.7
Baseline	136.7	3.3
C2_5GT	140	0.7
Baseline	140.7	5.3
NT	146	0.7
Baseline	146.7	5.3
NT	152	0.7
Baseline	152.7	3.3
GT	156	0.7
Baseline	156.7	7.3
NT	164	0.7
Baseline	164.7	3.3
NT	168	0.7
Baseline	168.7	3.3
C2_5GT	172	0.7
Baseline	172.7	5.3
GNT	178	0.7
Baseline	178.7	7.3
NT	186	0.7
Baseline	186.7	7.3
NT	194	0.7
Baseline	194.7	5.3
GT	200	0.7
Baseline	200.7	3.3
GNT	204	0.7
Baseline	204.7	7.3
C2_5GT	212	0.7
Baseline	212.7	3.3
GNT	216	0.7
Baseline	216.7	5.3
GT	222	0.7
Baseline	222.7	5.3
GT	228	0.7
Baseline	228.7	5.3
GT	234	0.7
Baseline	234.7	3.3
GT	238	0.7
Baseline	238.7	3.3
C2_5GT	242	0.7
Baseline	242.7	7.3
NT	250	0.7
Baseline	250.7	5.3
GNT	256	0.7
Baseline	256.7	7.3
GNT	264	0.7
Baseline	264.7	7.3
GT	272	0.7
Baseline	272.7	3.3
GNT	276	0.7
Baseline	276.7	5.3
GNT	282	0.7
Baseline	282.7	3.3
C2_5GT	286	0.7
Baseline	286.7	3.3
C2_5GT	290	0.7
Baseline	290.7	3.3
GT	294	0.7
Baseline	294.7	5.3
NT	300	0.7
Baseline	300.7	5.3
NT	306	0.7
Baseline	306.7	3.3
NT	310	0.7
Baseline	310.7	3.3
NT	314	0.7
Baseline	314.7	7.3
NT	322	0.7
Baseline	322.7	3.3
GNT	326	0.7
Baseline	326.7	3.3
C2_5GT	330	0.7
Baseline	330.7	5.3
GNT	336	0.7
Baseline	336.7	3.3
C2_5GT	340	0.7
Baseline	340.7	3.3
NT	344	0.7
Baseline	344.7	5.3
C2_5GT	350	0.7
Baseline	350.7	3.3
